BFD	RA	Dec	Diameter	mag	HD	HIP	Name
44 Cet	1.400705278	-8.007408333		6.21	8511	6539	
46 Cet	1.427009722	-14.59879167		4.9	8705	6670	
37 del Cas	1.430173056	60.23539722		2.66	8538	6686	Ruchbah
36 psi Cas	1.432228333	68.13001667		4.72	8491	6692	
93 rho Psc	1.437573333	19.17234167		5.35	8723	6706	
94 Psc	1.444910833	19.240425		5.5	8763	6732	
47 Cet	1.447656944	-13.05651111		5.51	8829	6748	
R Scl	1.449471944	-32.54310278		6.57	8879	6759	
48 ome And	1.460938889	45.40669444		4.83	8799	6813	
95 Psc	1.461057222	5.352791667		7.21	8875	6815	
gam Phe	1.4727575	-43.31824444		3.41	9053	6867	
48 Cet	1.493361667	-21.62934444		5.11	9132	6960	
97 Psc	1.498017778	18.35566944		6.01	9100	6981	
49 A And	1.501695278	47.00728056		5.27	9057	6999	
98 mu. Psc	1.5030875	6.143827778		4.84	9138	7007	
38 Cas	1.5204875	70.2646		5.82	9021	7078	
del Phe	1.5208625	-49.0727		3.93	9362	7083	
99 eta Psc	1.524725	15.34582778		3.62	9270	7097	Al'farg
39 chi Cas	1.565521389	59.23204167		4.68	9408	7294	
49 Cet	1.577160833	-15.67635833		5.62	9672	7345	
100 Psc	1.581006111	12.55863889		7.05	9656	7364	
101 Psc	1.596234444	14.661425		6.23	9766	7436	
50 Cet	1.599713611	-15.40018611		5.41	9856	7450	
tau Scl	1.602368889	-29.90755278		5.69	9906	7463	
50 ups And	1.613324722	41.40634167		4.1	9826	7513	
102 pi. Psc	1.618321667	12.14150833		5.54	9919	7535	
51 And	1.63321	48.62821389		3.59	9927	7607	
40 Cas	1.641921389	73.04003889		5.28	9774	7650	
104 Psc	1.654289722	14.28556111		6.74	10135	7710	
52 chi And	1.655833333	44.38615833		5.01	10072	7719	
105 Psc	1.661338333	16.40586111		5.98	10164	7740	
p Eri	1.663209722	-56.19337778		5.76	10360	7751	
53 tau And	1.676338056	40.57705		4.96	10205	7818	
tau01 Hyi	1.689301667	-79.1482		6.33	10859	7879	
106 nu. Psc	1.690526111	5.487608333		4.45	10380	7884	
pi. Scl	1.702388889	-32.32692222		5.25	10537	7955	
43 Cas	1.7057025	68.04301944		5.57	10221	7965	
q01 Eri	1.708144444	-53.74083056		5.52	10647	7978	
107 Psc	1.7082675	20.26853333		5.24	10476	7981	
42 Cas	1.715516944	70.62252778		5.18	10250	8016	
44 Cas	1.722154167	60.55134444		5.78	10425	8046	
phi Per	1.727676944	50.68873056		4.01	10516	8068	
52 tau Cet	1.734743889	-15.93950556		3.49	10700	8102	
109 Psc	1.748840556	20.08315556		6.27	10697	8159	
110 omi Psc	1.756564167	9.157741667		4.26	10761	8198	Torcularis Septentrionalis
eps Scl	1.760739167	-25.05243889		5.29	10830	8209	
120 Phe	1.768323889	-50.81625556		5.49	10934	8240	
q02 Eri	1.768406667	-53.52203611		5.04	10939	8241	
3 Ari	1.776471944	17.41269722		6.55	10845	8271	
tau02 Hyi	1.796235278	-80.17630556		6.05	11604	8366	
4 Ari	1.803037778	16.95555		5.86	10982	8387	
53 chi Cet	1.8264175	-10.68641111		4.66	11171	8497	
1 Ari	1.835729167	22.27455		5.83	11154	8544	
54 Cet	1.847770278	11.04338056		5.92	11257	8588	
55 zet Cet	1.857675833	-10.33504167		3.74	11353	8645	Baten Kaitos
1 Per	1.866474167	55.14740278		5.53	11241	8704	
2 Per	1.869269722	50.79279444		5.7	11291	8714	
eta01 Hyi	1.876326111	-67.94450556		6.77	11733	8751	
2 alf Tri	1.884696667	29.57883333		3.42	11443	8796	Metallah
55 And	1.888150833	40.72979167		5.42	11428	8814	
5 gam01 Ari	1.892157778	19.29407778		3.88	11502	8832	Mesarthim
111 ksi Psc	1.892597222	3.187527778		4.61	11559	8833	
psi Phe	1.894095278	-46.30266944		4.39	11695	8837	
phi Phe	1.906120556	-42.49694444		5.12	11753	8882	
45 eps Cas	1.906578889	63.67014444		3.35	11415	8886	Segin
6 bet Ari	1.910653333	20.80828333		2.64	11636	8903	Sheratan
eta02 Hyi	1.915591389	-67.64730278		4.68	11977	8928	
sig Hyi	1.930707222	-78.34854722		6.15	12363	8991	
7 Ari	1.930844167	23.57731944		5.76	11763	8993	
chi Eri	1.932629722	-51.60887222		3.69	11937	9007	
46 ome Cas	1.93334	68.68524167		4.97	11529	9009	
56 And	1.935934167	37.25183056		5.69	11749	9021	
56 Cet	1.944499444	-22.52678333		4.92	11930	9061	
8 iot Ari	1.955848611	17.81753056		5.09	11909	9110	
9 lam Ari	1.965476944	23.59606389		4.79	11973	9153	
58 Cet	1.965593889	-2.099366667		8.83	12021	9155	
58 Cet	1.966503333	-2.059488889		6.52	12020	9165	
3 Per	1.975973889	49.20435833		5.7	11949	9222	
alf Hyi	1.979413333	-61.569925		2.86	12311	9236	
57 Cet	1.996166667	-20.82453611		5.43	12255	9326	
59 ups Cet	2.000085833	-21.07783056		3.99	12274	9347	
112 Psc	2.002544444	3.097019444		5.89	12235	9353	
chi Tri	2.009370833	27.88866944		9.1	12211	9383	
pi. For	2.020756111	-30.00183056		5.34	12438	9440	
chi Phe	2.028437778	-44.71350833		5.15	12524	9459	
48 A Cas	2.032621389	70.90706389		4.49	12111	9480	
113 alf Psc	2.034117778	2.763730556		3.82	12446	9487	Alrisha
4 g Per	2.038354444	54.48755		4.99	12303	9505	
52 Cas	2.04791	64.90146667		6	12279	9564	
3 eps Tri	2.049432222	33.28413611		5.5	12471	9570	
53 Cas	2.050051667	64.39001667		5.59	12301	9573	
60 Cet	2.053236389	0		5.42	12573	9589	
50 Cas	2.057274167	72.42124167		3.95	12216	9598	
10 Ari	2.060930278	25.93547222		5.64	12558	9621	
61 Cet	2.063380833	0		5.96	12641	9631	
57 gam01 And	2.064978056	42.32984444		2.1	12533	9640	Almach
nu. For	2.074843889	-29.29681944		4.68	12767	9677	
47 Cas	2.0853825	77.28131389		5.27	12230	9727	
49 Cas	2.092097778	76.11505833		5.22	12339	9763	
12 kap Ari	2.109423611	22.64831389		5.03	12869	9836	
11 Ari	2.113676389	25.70455278		6.01	12885	9859	
13 alf Ari	2.119526389	23.46276111		2.01	12929	9884	Hamal
58 And	2.141460833	37.85908333		4.78	13041	9977	
54 Cas	2.152294722	71.55201111		6.57	12800	10031	
14 Ari	2.157037222	25.93988333		4.98	13174	10053	
4 bet Tri	2.159062778	34.98729444		3	13161	10064	
15 Ari	2.177110556	19.50033889		5.68	13325	10155	
59 And	2.181340833	39.03954444		6.09	13294	10176	
59 And	2.1815775	39.0433		6.82	13295	10180	
16 Ari	2.186682222	25.93694167		6.01	13363	10203	
64 Cet	2.189188611	8.569805556		5.64	13421	10212	
5 Tri	2.190284167	31.52639722		6.24	13372	10220	
5 Per	2.191443056	57.64554722		6.38	13267	10227	
63 Cet	2.193287778	-1.825425		5.94	13468	10234	
