Code	RA	DEC	Diameter	mag	Name
IC326	3.510176	-14.426083	0.4	15	
IC327	3.519458	-14.692361	0.6	15	
IC328	3.519719	-14.63825	0.5	14	
IC329	3.533697	0.27935	0	15	
IC330	3.53555	0.352944	1	15	
IC331	3.538614	0.282333	0	15	
IC332	3.543724	1.382336	0	15	
IC334	3.754733	76.637444	6	12	
IC335	3.591917	-34.446389	3	0	
IC338	3.627244	3.118167	0	15	
IC340	3.658056	-13.115278	1.4	15	
IC342	3.780167	68.096167	17.8	9	
IC343	3.668639	-18.443333	1.8	0	
IC344	3.691522	-4.665833	0	0	
IC345	3.685824	-18.314181	0.4	15	
IC346	3.695744	-18.267094	1.9	0	
IC347	3.709028	-4.298889	0.7	13	
IC348	3.742833	32.162778	10	7.3	
IC349	3.77225	23.939722	0	0	
IC350	3.743506	-11.801028	0.8	14	
IC351	3.792485	35.046786	0.1	12	
IC353	3.883333	25.8	180	0	
IC356	4.129628	69.812278	5.2	11	
IC357	4.062254	22.159306	1.3	14	
IC358	4.061927	19.894828	1.4	15	
IC359	4.207875	27.702278	15	0	
IC360	4.15	26.1	180	0	
IC361	4.313889	58.25	6	11.7	
IC362	4.278476	-12.200075	0.3	14	
IC364	4.318527	3.188514	0	15	
IC365	4.320594	3.347972	0.6	14	
IC367	4.344722	-14.781667	0.3	15	
IC368	4.378519	-12.614942	0.8	14	
IC369	4.391169	-11.790111	0.5	15	
IC370	4.4005	-9.395556	1.2	14	
IC373	4.511887	-4.871	1	15	
IC374	4.542444	16.634167	0	16	
IC376	4.520428	-12.43375	0.8	14	
IC379	4.530806	-7.2384	0.9	15	
IC380	4.528133	-12.927444	0.6	15	
IC381	4.741375	75.639528	3.4	14	
IC382	4.632083	-9.519444	2	13	
IC387	4.695611	-7.086667	1.5	0	
IC388	4.698418	-7.306703	0.4	15	
IC389	4.699897	-7.311664	0.4	15	
IC390	4.701071	-7.206647	0.7	15	
IC391	4.956108	78.189667	1.7	12.7	
IC392	4.773842	3.505528	1.5	15	
IC393	4.797711	-15.525494	0.3	15	
IC396	4.966364	68.322639	3	13	
IC398	4.970167	-7.780556	1.5	0	
IC399	5.028889	-4.288889	0	14.5	
IC404	5.222133	9.754694	0	16	
IC405	5.274722	34.356667	30	0	Flaming Star nebula
IC406	5.296944	39.886028	0	0	
IC409	5.326	3.317222	0.6	15	
IC410	5.378889	33.416667	40	0	
IC411	5.338333	-25.324444	0.5	15	
IC412	5.365739	3.486194	1.6	14	
IC413	5.366331	3.482167	1.2	14	
IC414	5.365264	3.342083	0.4	15	
IC416	5.399	-17.260556	1.7	0	
IC417	5.468333	34.423333	13	0	
IC418	5.457837	-12.697183	0.2	11	
IC423	5.556111	-0.615	6	0	
IC426	5.608611	-0.298333	5	0	
IC430	5.642556	-7.085278	11	0	
IC431	5.670556	-1.463333	5	0	
IC432	5.681944	-1.506667	8	0	
IC433	5.675339	-11.665778	0.4	14	
IC434	5.683333	-2.453333	60	0	Horsehead nebula
